"frame","x1","x2","y1","y2","confidence","objectId","cls","cls_conf"
32,939.9,968.2,466.2,488.4,0.95,12,car,1.0
32,547.0,646.4,492.9,578.5,0.9,12,car,0.99
33,176.4,428.1,507.7,597.8,1.0,12,car,1.0
33,577.2,803.6,483.7,585.1,1.0,12,car,0.98
33,990.6,1026.1,456.4,487.6,0.97,12,car,0.99
33,865.2,932.1,466.4,521.9,0.97,12,car,0.98
33,941.1,967.4,466.6,489.7,0.96,12,car,1.0
34,188.2,451.1,509.8,599.3,1.0,12,car,1.0
34,593.4,823.1,481.1,581.3,1.0,12,car,0.99
34,990.8,1025.6,455.9,487.5,0.98,12,car,0.99
34,865.9,935.5,465.4,520.9,0.99,12,car,0.98
34,939.0,966.7,465.8,490.1,0.95,12,car,1.0
34,972.5,1270.5,427.5,678.1,0.8,12,car,0.78
35,207.4,468.9,509.8,597.6,1.0,12,car,1.0
35,630.6,832.4,481.6,575.7,0.99,12,car,0.98
35,991.1,1025.0,456.5,487.0,0.96,12,car,0.99
35,867.6,935.3,465.6,520.7,0.97,12,car,0.97
35,937.4,964.0,466.0,489.0,0.9,12,car,1.0
35,589.7,678.3,493.6,564.8,0.8,12,car,0.99
36,212.1,476.6,510.0,599.0,1.0,12,car,1.0
36,626.6,845.1,480.9,576.2,1.0,12,car,0.99
36,991.6,1024.9,457.5,486.7,0.97,12,car,1.0
36,867.1,936.7,466.6,518.9,0.95,13,car,0.98
36,938.0,964.3,466.9,489.5,0.9,13,car,1.0
37,219.7,479.2,507.8,597.8,1.0,13,car,1.0
37,623.8,849.9,476.9,579.9,1.0,13,car,0.99
37,991.1,1024.9,457.6,486.8,0.96,13,car,1.0
37,870.1,935.8,464.9,518.5,0.94,13,car,0.94
37,937.6,963.0,466.0,488.2,0.88,13,car,1.0
38,236.6,506.3,509.3,599.4,1.0,13,car,1.0
38,627.4,849.8,479.3,577.2,1.0,13,car,0.99
38,992.0,1024.0,457.8,486.7,0.96,13,car,1.0
38,875.7,932.5,466.5,517.5,0.94,14,car,0.95
38,937.5,961.8,465.7,487.8,0.85,14,car,1.0
38,967.5,1272.6,432.3,672.7,0.82,14,car,0.78
39,257.1,520.7,509.8,596.9,1.0,14,car,1.0
39,640.9,843.4,476.1,576.2,1.0,14,car,1.0
39,991.9,1024.6,457.2,486.7,0.96,14,car,0.99
39,878.0,942.9,465.7,517.7,0.94,15,car,0.98
39,937.7,963.5,465.9,490.1,0.82,15,car,1.0
39,965.9,1272.1,432.0,669.2,0.83,15,car,0.83
40,258.9,528.2,509.4,599.2,1.0,15,car,1.0
40,644.0,846.7,477.1,573.5,1.0,15,car,1.0
40,991.0,1025.8,456.9,485.9,0.96,15,car,1.0
40,877.2,943.5,465.3,516.9,0.9,16,car,0.98
40,934.3,962.5,464.4,491.6,0.85,16,car,1.0
40,966.3,1272.8,432.6,667.2,0.9,16,car,0.92
41,268.7,533.1,508.5,598.2,1.0,16,car,1.0
41,661.6,871.5,477.1,574.2,1.0,16,car,1.0
41,991.3,1025.4,456.8,486.4,0.96,16,car,0.99
41,877.9,945.1,465.3,518.2,0.97,17,car,0.97
41,934.9,961.6,462.7,491.2,0.88,17,car,0.99
41,967.7,1273.6,433.4,667.2,0.9,17,car,0.93
42,288.0,556.8,510.8,598.9,1.0,17,car,1.0
42,667.7,869.3,478.4,572.9,1.0,17,car,0.99
42,992.1,1024.4,456.9,485.7,0.97,17,car,0.99
42,886.9,945.7,463.4,517.8,0.96,18,car,0.93
42,935.7,960.5,463.5,489.4,0.86,18,car,0.99
42,969.0,1273.6,433.8,666.3,0.86,18,car,0.91
43,306.4,569.4,508.1,598.1,1.0,18,car,1.0
43,680.6,884.8,477.2,570.3,1.0,18,car,0.99
43,990.9,1025.2,456.9,485.6,0.96,18,car,0.99
43,936.1,961.9,463.6,490.8,0.87,18,car,0.99
43,967.2,1272.6,429.5,669.4,0.89,18,car,0.95
43,890.7,945.4,465.7,515.3,0.89,18,car,0.92
44,311.9,575.4,508.5,599.7,1.0,18,car,1.0
44,695.7,873.3,476.4,568.7,1.0,18,car,0.99
44,989.5,1026.6,456.8,485.8,0.97,19,car,1.0
44,935.2,963.1,463.2,490.5,0.87,19,car,0.99
44,970.4,1273.0,427.7,673.9,0.89,19,car,0.91
44,863.5,943.9,468.5,517.3,0.85,20,car,0.91
45,322.7,585.0,507.8,598.7,1.0,20,car,1.0
45,702.1,877.4,474.3,564.9,1.0,20,car,0.99
45,990.5,1025.0,457.1,485.5,0.96,20,car,1.0
45,863.6,941.8,466.3,515.7,0.9,20,car,0.94
45,935.0,961.3,463.5,491.3,0.82,20,car,0.99
45,970.4,1272.2,430.4,675.3,0.89,20,car,0.9
46,335.2,607.0,508.1,599.5,1.0,20,car,1.0
46,711.9,888.0,473.9,560.1,0.99,20,car,0.99
46,990.0,1026.0,456.4,486.0,0.95,20,car,0.99
46,867.1,945.0,467.9,514.1,0.93,20,car,0.97
46,962.3,1271.9,426.2,675.1,0.86,20,car,0.94
47,354.6,622.8,506.0,596.1,1.0,20,car,1.0
47,730.5,875.3,474.5,558.5,0.99,20,car,0.99
47,989.0,1026.6,456.5,485.5,0.96,20,car,1.0
47,884.8,952.9,465.5,516.4,0.9,20,car,0.99
48,362.6,623.1,508.3,597.7,1.0,20,car,1.0
48,738.2,887.2,475.6,557.9,1.0,20,car,1.0
48,989.1,1026.3,456.6,486.3,0.98,20,car,0.99
48,881.3,946.1,469.1,513.0,0.83,20,car,0.99
49,372.6,628.2,507.9,595.1,1.0,20,car,1.0
49,744.9,887.0,471.9,558.1,1.0,20,car,0.99
49,988.8,1026.7,456.6,486.4,0.98,20,car,0.99
49,888.1,954.3,467.3,513.0,0.92,20,car,0.98
50,388.6,648.0,503.4,588.9,1.0,20,car,1.0
50,765.3,883.8,475.4,551.6,0.99,20,car,0.99
50,989.7,1025.9,456.6,486.4,0.96,20,car,0.99
50,888.2,953.6,467.2,513.3,0.93,20,car,1.0
51,405.2,666.0,507.7,592.4,1.0,20,car,1.0
51,761.2,868.6,476.1,553.5,1.0,20,car,0.98
51,891.7,957.7,466.2,511.4,0.96,20,car,1.0
51,989.4,1026.9,456.7,486.6,0.94,20,car,0.99
52,416.4,666.7,503.8,590.2,1.0,20,car,1.0
52,899.2,956.4,469.9,508.3,0.98,20,car,1.0
52,772.0,899.9,473.5,551.5,0.99,20,car,0.96
52,990.2,1025.7,456.8,487.4,0.94,20,car,0.99
53,422.3,664.7,503.5,589.7,1.0,20,car,1.0
53,899.9,955.9,469.4,508.2,0.98,20,car,1.0
53,775.6,894.0,472.0,552.1,0.99,20,car,0.98
53,990.1,1025.4,457.2,487.3,0.94,20,car,0.99
54,433.4,667.7,502.8,585.9,1.0,20,car,1.0
54,902.2,957.9,468.5,509.5,0.99,20,car,1.0
54,783.1,893.9,472.2,546.5,0.98,20,car,0.96
54,988.9,1026.3,457.0,486.4,0.94,20,car,0.99
55,448.1,698.8,500.9,587.2,1.0,20,car,1.0
55,789.9,896.6,473.6,545.0,0.99,20,car,0.99
55,905.5,955.6,465.3,510.7,0.96,20,car,1.0
55,989.7,1026.5,456.4,486.4,0.93,20,car,0.99
56,465.3,713.8,499.2,584.5,1.0,20,car,1.0
56,796.6,903.1,470.6,544.9,0.99,20,car,0.98
56,989.8,1026.2,456.7,486.4,0.93,20,car,0.99
56,907.0,953.6,467.0,509.4,0.93,20,car,1.0
57,475.6,709.3,498.6,583.4,1.0,20,car,1.0
57,989.7,1026.0,456.5,485.8,0.95,20,car,0.99
57,801.4,893.6,474.4,541.9,0.98,20,car,0.91
57,910.8,951.1,468.9,510.2,0.87,20,car,0.99
57,863.6,923.1,471.4,528.6,0.81,20,car,0.96
58,487.0,710.2,496.3,581.5,1.0,20,car,0.99
58,808.5,891.8,476.0,541.3,0.99,20,car,0.95
58,989.9,1026.1,456.5,485.1,0.94,20,car,0.99
59,507.1,735.9,494.8,578.2,1.0,20,car,1.0
59,814.9,907.3,474.6,540.2,0.99,20,car,0.98
59,982.3,1024.1,456.4,486.8,0.96,20,car,0.99
59,910.8,947.4,468.1,511.9,0.81,21,car,0.99
60,522.0,752.5,491.2,577.4,1.0,21,car,0.99
60,983.2,1023.4,456.5,485.8,0.94,21,car,0.99
60,817.0,918.9,474.9,540.9,0.97,21,car,0.96
60,12.1,232.1,474.3,618.2,0.83,22,car,0.99
61,527.5,753.9,488.5,579.0,1.0,22,car,0.98
61,822.8,916.0,474.2,538.7,0.99,22,car,0.97
61,982.2,1023.9,457.7,487.0,0.96,22,car,1.0
61,14.2,254.1,480.6,616.3,0.91,22,car,0.98
61,958.2,1275.4,430.2,661.5,0.88,23,car,0.97
61,925.6,962.2,462.9,497.0,0.83,23,car,1.0
62,536.6,755.2,487.2,576.1,1.0,23,car,0.98
62,107.2,260.5,496.8,614.0,0.98,24,car,0.99
62,988.2,1028.1,457.2,485.3,0.97,24,car,0.99
62,826.7,925.3,473.1,539.4,0.99,24,car,0.95
62,927.5,963.4,463.1,495.2,0.87,24,car,0.99
63,117.3,270.7,496.9,612.7,1.0,24,car,1.0
63,554.1,768.9,482.6,575.2,1.0,24,car,0.98
63,832.8,929.4,471.4,535.6,1.0,24,car,0.97
63,982.1,1024.1,458.6,488.3,0.96,24,car,0.99
63,928.2,963.1,462.3,493.4,0.89,24,car,0.99
63,945.2,1273.1,432.6,663.8,0.83,24,car,0.91
64,112.5,281.8,497.2,613.3,1.0,24,car,1.0
64,835.2,933.3,469.3,531.3,0.99,24,car,0.98
64,982.0,1023.4,458.7,487.2,0.96,24,car,0.99
64,562.5,776.4,485.6,574.0,1.0,24,car,0.95
64,930.5,961.6,462.8,492.7,0.9,24,car,0.99
65,111.7,298.6,493.4,614.2,1.0,24,car,1.0
65,836.9,935.5,469.1,531.2,0.99,24,car,0.99
65,981.4,1023.6,459.5,487.4,0.94,24,car,0.99
65,581.8,789.5,483.3,571.6,0.99,24,car,0.89
65,931.8,965.6,461.9,491.8,0.87,24,car,0.99
66,119.5,319.6,497.6,613.7,1.0,24,car,1.0
66,840.6,935.7,468.4,529.7,0.99,24,car,0.98
66,578.8,798.4,483.8,568.1,1.0,24,car,0.96
66,981.4,1022.8,458.9,485.8,0.91,24,car,0.99
66,940.0,1276.7,436.8,656.2,0.93,24,car,0.89
66,931.4,963.8,460.9,489.3,0.8,24,car,0.99
67,119.2,329.4,495.7,615.3,1.0,24,car,1.0
67,588.6,795.7,484.8,568.4,1.0,24,car,0.98
67,852.0,941.1,470.0,527.1,0.99,24,car,0.98
67,981.2,1020.8,460.5,486.2,0.89,24,car,0.99
67,939.2,1278.0,437.4,658.5,0.88,24,car,0.9
68,129.7,349.8,498.4,610.6,1.0,24,car,1.0
68,592.4,797.2,481.6,567.3,1.0,24,car,0.98
68,855.4,937.8,471.9,529.3,0.98,24,car,0.97
68,934.6,1278.2,436.8,653.2,0.93,24,car,0.93
68,980.9,1021.8,458.5,484.0,0.86,24,car,0.99
69,128.3,365.5,498.7,613.0,1.0,24,car,1.0
69,861.3,930.6,473.7,529.0,0.99,24,car,0.99
69,603.3,820.1,480.5,568.5,1.0,24,car,0.95
69,981.2,1019.1,459.1,483.8,0.85,24,car,0.99
69,934.6,1276.1,431.8,661.5,0.96,24,car,0.87
70,124.8,372.5,497.7,614.4,1.0,24,car,1.0
70,864.6,933.3,471.5,527.3,0.99,24,car,0.99
70,625.4,825.1,484.3,565.1,1.0,24,car,0.97
70,932.1,1276.5,437.1,665.0,0.99,24,car,0.89
70,980.9,1019.5,459.2,483.8,0.85,24,car,0.99
71,125.0,385.3,497.5,612.3,1.0,24,car,1.0
71,867.4,935.0,471.1,527.7,0.99,24,car,0.98
71,630.3,821.6,482.8,566.3,0.99,24,car,0.95
71,981.4,1017.1,459.0,482.9,0.86,24,car,0.99
71,931.4,1271.9,432.4,662.3,0.98,24,car,0.84
72,128.9,409.9,499.5,614.1,1.0,24,car,1.0
72,870.5,951.5,466.3,524.6,0.98,24,car,0.98
72,642.7,834.1,481.5,565.7,0.99,24,car,0.96
72,935.5,1271.2,431.9,660.4,0.96,24,car,0.77
73,156.9,427.2,500.9,612.6,1.0,24,car,1.0
73,648.4,834.3,482.9,563.0,0.99,24,car,0.98
73,871.8,936.1,468.1,524.6,0.97,24,car,0.97
73,929.7,1263.1,434.3,650.8,0.99,25,truck,0.68
73,898.0,1253.1,435.1,651.2,0.85,25,car,0.75
74,153.8,439.4,499.1,614.5,1.0,25,car,1.0
74,645.2,845.5,483.2,563.7,1.0,25,car,0.99
74,875.4,944.8,465.2,524.1,0.96,25,car,0.95
74,913.4,1258.5,438.7,655.7,0.97,25,car,0.82
75,168.6,457.9,503.8,610.2,1.0,25,car,1.0
75,666.6,852.4,480.6,558.9,1.0,25,car,0.99
75,877.3,947.1,464.5,523.2,0.99,25,car,0.92
75,919.0,1249.5,438.4,656.7,0.92,25,car,0.89
76,193.9,475.6,503.0,613.7,1.0,25,car,1.0
76,676.1,851.9,482.5,560.7,0.98,25,car,0.97
76,881.4,945.5,468.2,522.5,0.95,25,car,0.97
76,912.4,1254.0,435.6,659.3,0.87,25,car,0.93
77,198.3,489.6,501.3,613.3,1.0,25,car,1.0
77,678.9,852.8,482.4,560.0,0.98,25,car,0.98
77,884.6,948.8,468.2,522.0,0.96,25,car,0.95
